Transaction_ID,date,time ,time frame ,FastagID,TollBoothID,Lane_Type,Vehicle_Dimensions,Transaction_Amount,Amount_paid,Geographical_Location,Vehicle_Speed,Vehicle_Plate_Number,Fraud_indicator,Numberic fraud,,,
1,01-06-2023 00:00,11:20,Morning,FTG-001-ABC-121,A-101,Express,Large,350,120,"13.059816123454882, 77.77068662374292",65,KA11AB1234,Fraud,1,,06:01,12:00
2,01-07-2023 00:00,14:55,Afternoon,FTG-002-XYZ-451,B-102,Regular,Small,120,100,"13.059816123454882, 77.77068662374292",78,KA66CD5678,Fraud,1,,12:01,18:00
3,01-08-2023 00:00,18:25,Evening,,D-104,Regular,Small,0,0,"13.059816123454882, 77.77068662374292",53,KA88EF9012,Not Fraud,0,,18:01,00:00
4,01-09-2023 00:00,02:05,Midnight,FTG-044-LMN-322,C-103,Regular,Large,350,120,"13.059816123454882, 77.77068662374292",92,KA11GH3456,Fraud,1,,00:01,06:00
5,01-10-2023 00:00,06:35,Morning,FTG-505-DEF-652,B-102,Express,Medium,140,100,"13.059816123454882, 77.77068662374292",60,KA44IJ6789,Fraud,1,,,
6,01-11-2023 00:00,10:00,Morning,FTG-066-GHI-987,A-101,Regular,Medium,160,100,"13.059816123454882, 77.77068662374292",105,KA77KL0123,Fraud,1,,,
7,01-12-2023 00:00,15:40,Afternoon,FTG-707-JKL-210,B-102,Express,Large,180,160,"13.059816123454882, 77.77068662374292",70,KA22MN4567,Fraud,1,,,
8,1/13/2023,20:15,Evening,FTG-088-UVW-543,C-103,Regular,Large,350,90,"13.059816123454882, 77.77068662374292",88,KA21OP8901,Fraud,1,,,
9,1/14/2023,01:55,Midnight,FTG-909-RST-876,A-101,Express,Small,120,0,"13.059816123454882, 77.77068662374292",45,KA16QR2345,Fraud,1,,,
10,1/15/2023,07:30,Morning,,D-104,Regular,Small,0,0,"13.059816123454882, 77.77068662374292",72,KA22ST6789,Not Fraud,0,,,
11,1/16/2023,12:10,Afternoon,FTG-021-QWE-765,C-103,Express,Large,350,120,"13.059816123454882, 77.77068662374292",58,KA12UV0123,Fraud,1,,,
12,1/17/2023,17:45,Afternoon,FTG-011-ZXC-431,B-102,Regular,Medium,140,120,"13.059816123454882, 77.77068662374292",81,KA35WX3454,Fraud,1,,,
13,1/18/2023,22:20,Evening,FTG-013-POI-104,A-101,Express,Medium,160,120,"13.059816123454882, 77.77068662374292",67,KA38YZ6785,Fraud,1,,,
14,1/19/2023,04:00,Midnight,FTG-014-KJH-872,B-102,Regular,Large,180,180,"13.059816123454882, 77.77068662374292",98,KA14AB0123,Not Fraud,0,,,
15,1/20/2023,08:30,Morning,FTG-055-DCV-543,A-101,Express,Large,350,120,"13.059816123454882, 77.77068662374292",50,KA40CD4557,Fraud,1,,,
16,1/21/2023,13:10,Afternoon,FTG-066-NBH-210,B-102,Regular,Small,120,90,"13.059816123454882, 77.77068662374292",75,KA17EF8801,Fraud,1,,,
17,1/22/2023,16:45,Afternoon,,D-104,Regular,Small,0,0,"13.059816123454882, 77.77068662374292",62,KA20GH1345,Not Fraud,0,,,
18,1/23/2023,22:25,Evening,FTG-088-EYT-654,C-103,Regular,Large,350,120,"13.059816123454882, 77.77068662374292",84,KA53IJ5789,Fraud,1,,,
19,1/24/2023,02:55,Midnight,FTG-099-FTD-321,B-102,Express,Medium,140,120,"13.059816123454882, 77.77068662374292",55,KA56KL0223,Fraud,1,,,
20,1/25/2023,07:35,Morning,FTG-120-TTU-098,A-101,Regular,Medium,160,160,"13.059816123454882, 77.77068662374292",80,KA59MN4557,Not Fraud,0,,,
21,1/26/2023,12:10,Afternoon,FTG-121-BTC-765,B-102,Express,Large,180,100,"13.059816123454882, 77.77068662374292",68,KA62OP7901,Fraud,1,,,
22,1/27/2023,15:45,Afternoon,FTG-122-XRW-432,C-103,Regular,Large,350,350,"13.059816123454882, 77.77068662374292",90,KA65QR1345,Not Fraud,0,,,
23,1/28/2023,21:25,Evening,FTG-123-NMK-101,A-101,Express,Small,120,90,"13.059816123454882, 77.77068662374292",48,KA88ST6784,Fraud,1,,,
