customer_id,gender,age,customer_segment,tenure_months,signup_channel,contract_type,monthly_logins,weekly_active_days,avg_session_time,features_used,usage_growth_rate,last_login_days_ago,monthly_fee,total_revenue,payment_method,payment_failures,discount_applied,price_increase_last_3m,support_tickets,avg_resolution_time,complaint_type,customer satsifaction score ,escalations,email_open_rate,marketing_click_rate,net promoter score ,survey_response,referral_count,churn
CUST_00001,Male,68,SME,22,Web,Monthly,26,7,11.76237199,5,0.06,7,30,660,PayPal,1,Yes,No,4,13.3543597,Service,4,0,0.71,0.4,27,Satisfied,1,0
CUST_00002,Female,57,Individual,9,Mobile,Monthly,7,5,26.84638961,1,-0.28,2,30,270,Card,1,No,Yes,1,25.14008841,Billing,2,0,0.78,0.33,-19,Neutral,2,1
CUST_00003,Male,24,SME,58,Web,Yearly,19,5,23.38006497,6,0.13,23,20,1160,Card,2,No,No,1,27.57292845,Service,3,0,0.35,0.49,80,Neutral,1,0
CUST_00004,Male,49,Individual,19,Mobile,Yearly,34,7,24.24313627,2,-0.17,24,30,570,Bank Transfer,0,Yes,No,3,26.4208223,Technical,5,1,0.83,0.15,100,Neutral,0,0
CUST_00005,Male,65,Individual,52,Web,Monthly,20,6,18.87232291,2,-0.16,2,50,2600,PayPal,0,No,No,0,26.67457918,Technical,4,0,0.65,0.44,21,Unsatisfied,1,0
CUST_00006,Female,36,Individual,54,Mobile,Monthly,1,3,20.93823727,2,-0.15,20,50,2700,Card,0,No,No,0,36.03839117,Technical,4,1,0.83,0.05,-40,Neutral,1,0
CUST_00007,Male,23,SME,54,Mobile,Monthly,21,4,17.54441636,6,0.23,13,20,1080,Card,0,No,No,1,36.89292842,Billing,4,0,0.75,0.46,-3,Neutral,1,0
CUST_00008,Male,37,Individual,7,Referral,Yearly,17,7,26.18874574,8,0.22,7,20,140,Card,0,Yes,No,2,25.02413251,Technical,4,1,0.54,0.13,28,Satisfied,1,0
CUST_00009,Male,44,SME,15,Referral,Monthly,29,4,1,6,-0.1,13,30,450,PayPal,0,No,No,1,32.46553558,Technical,2,0,0.85,0.13,-24,Satisfied,0,0
CUST_00010,Female,70,Individual,17,Mobile,Monthly,18,5,7.338150078,3,0.27,0,30,510,PayPal,0,No,No,1,42.98619186,Billing,4,0,0.72,0.13,17,Neutral,1,0
CUST_00011,Male,60,Individual,46,Referral,Yearly,31,6,4.650967671,7,0.26,27,30,1380,Bank Transfer,1,No,No,2,11.36876946,Service,5,0,0.41,0.18,18,Neutral,1,0
